"DT","GR","NPHI","PHIe","RHOB","Vclay","Perm"
69.8504,60.872,0.1093,0.0977,2.5151,0.125,2
67.5159,53.7627,0.0724,0.0662,2.5735,0.0833,0.73
65.8811,52.1133,0.0643,0.0442,2.6319,0.1234,9.8
73.0684,59.8009,0.1291,0.107,2.5154,0.1555,82
77.6376,58.7805,0.1468,0.1247,2.4871,0.1522,0.05
78.792,69.3567,0.1607,0.1032,2.5495,0.3095,0.03
79.5907,77.1331,0.1587,0.0782,2.6023,0.4234,6.1
81.3555,68.1524,0.1648,0.1303,2.4752,0.2293,0.25
82.3971,65.5064,0.167,0.1374,2.4626,0.2025,0.88
82.1565,60.6382,0.1636,0.1342,2.4777,0.1831,0.69
81.4448,59.6877,0.1678,0.1386,2.4715,0.1788,38
81.2728,60.4917,0.1673,0.1434,2.4548,0.1646,0.37
80.424,72.184,0.166,0.124,2.486,0.2722,2.3
80.3161,61.3534,0.1618,0.1299,2.4868,0.1935,11
78.8051,59.1488,0.1677,0.1397,2.469,0.1729,28
79.6846,60.8369,0.1682,0.143,2.4567,0.17,0.82
80.4304,63.9679,0.1656,0.136,2.4681,0.1961,1.8
80.6134,65.6556,0.171,0.123,2.5115,0.2629,9.1
81.07,64.8211,0.1735,0.1316,2.4904,0.2396,9.7
80.4444,62.6543,0.1669,0.1422,2.4537,0.1751,0.53
79.6098,65.6617,0.1688,0.1321,2.4807,0.226,1.54
77.9933,66.4547,0.1669,0.1295,2.4841,0.2312,23
78.4844,57.7474,0.1808,0.1205,2.5498,0.2758,0.6
80.4429,65.2678,0.1818,0.1424,2.4678,0.2335,6.9
80.3621,66.099,0.1773,0.1407,2.465,0.2276,0.04
79.9711,65.4041,0.1729,0.1338,2.4815,0.2327,0.42
78.8749,61.0585,0.1726,0.1355,2.485,0.2095,0.42
79.6899,56.7664,0.1714,0.1372,2.4861,0.1855,0.32
82.1076,70.8993,0.1753,0.1358,2.4659,0.2582,3.4
76.5776,76.2602,0.1758,0.1335,2.4596,0.2949,3.6
77.3693,66.2033,0.1638,0.1308,2.4766,0.2159,0.76
79.6799,76.1937,0.1791,0.1048,2.5516,0.3985,0.4
79.8702,84.5359,0.1846,0.0712,2.6359,0.5788,0.03
80.9646,83.5024,0.1729,0.0667,2.6367,0.5473,0.23
86.2669,84.8296,0.21,0.0825,2.6381,0.6308,0.01
86.7861,87.959,0.2143,0.0793,2.6416,0.6785,0.01
88.1466,88.6884,0.202,0.0697,2.6494,0.6733,0.05
85.7615,92.8805,0.1911,0.0579,2.6485,0.7092,1.7
84.7743,89.0497,0.1863,0.063,2.6444,0.6438,0.01
85.7999,82.5103,0.1826,0.07,2.6446,0.5631,0.08
85.9277,84.8314,0.1838,0.0701,2.637,0.5818,1.4
88.5492,84.9268,0.1935,0.0778,2.6267,0.5895,0.04
87.4311,84.1135,0.1947,0.0772,2.6339,0.5906,0.01
88.2346,91.4117,0.2089,0.0774,2.6211,0.6914,0.09
88.5852,86.3397,0.2097,0.0866,2.6173,0.6251,0.17
88.0718,86.9224,0.2184,0.0907,2.6151,0.6453,0.7
88.1225,89.4731,0.2137,0.0849,2.6143,0.6672,0.01
87.9893,91.443,0.2094,0.0805,2.6117,0.6828,0.02
86.2599,89.3299,0.1936,0.0663,2.644,0.6604,0.97
83.5685,85.4485,0.1826,0.0701,2.6323,0.5813,0.01
84.2556,78.4719,0.1917,0.0836,2.6299,0.5252,11
83.6571,81.8894,0.2167,0.0911,2.6334,0.6071,0.02
86.1195,87.8853,0.218,0.0845,2.6307,0.6727,0.18
87.4891,90.8361,0.2117,0.0817,2.6143,0.6814,0.41
